timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618218143158,6706,Website request,200,,Load test Thread Group 1-41,text,true,,7645,209,379,379,http://localhost:8082/,6706,0,1
1618218132108,17793,Read Albums,200,,Load test Thread Group 1-217,text,true,,123077,221,379,379,http://localhost:8082/albums/read/,17791,0,0
1618218135320,14586,Read Playlist,200,,Load test Thread Group 1-282,text,true,,57152,224,379,379,http://localhost:8082/playlists/read/,14585,0,0
1618218143621,6285,Website request,200,,Load test Thread Group 1-249,text,true,,7645,209,379,379,http://localhost:8082/,6285,0,0
1618218135814,14101,Read Tracks,200,,Load test Thread Group 1-450,text,true,,434,232,378,378,http://localhost:8082/tracks/read/playlist/84,14101,0,0
1618218135814,14102,Read Tracks,200,,Load test Thread Group 1-413,text,true,,364502,221,378,378,http://localhost:8082/tracks/read/,14094,0,0
1618218143652,6265,Website request,200,,Load test Thread Group 1-263,text,true,,7645,209,376,376,http://localhost:8082/,6265,0,1
1618218143716,6201,Website request,200,,Load test Thread Group 1-244,text,true,,7645,209,376,376,http://localhost:8082/,6201,0,0
1618218135583,14422,Read Playlist,200,,Load test Thread Group 1-283,text,true,,57152,224,375,375,http://localhost:8082/playlists/read/,14422,0,0
1618218135583,14429,Read Playlist,200,,Load test Thread Group 1-366,text,true,,57152,224,374,374,http://localhost:8082/playlists/read/,14429,0,0
1618218136135,14000,Read Tracks,200,,Load test Thread Group 1-397,text,true,,385,232,373,373,http://localhost:8082/tracks/read/playlist/55,14000,0,0
1618218135814,14320,Read Playlist,200,,Load test Thread Group 1-270,text,true,,57152,224,373,373,http://localhost:8082/playlists/read/,14320,0,0
1618218135814,14321,Read Playlist,200,,Load test Thread Group 1-272,text,true,,57152,224,373,373,http://localhost:8082/playlists/read/,14320,0,0
1618218136014,14122,Create Genre,201,,Load test Thread Group 1-36,text,true,,375,374,373,373,http://localhost:8082/genres/create,14122,0,0
1618218143760,6381,Website request,200,,Load test Thread Group 1-56,text,true,,7645,209,370,370,http://localhost:8082/,6381,0,1
1618218135814,14332,Read Playlist,200,,Load test Thread Group 1-162,text,true,,57152,224,370,370,http://localhost:8082/playlists/read/,14332,0,0
1618218133792,16356,Read Artists,200,,Load test Thread Group 1-172,text,true,,63319,222,370,370,http://localhost:8082/artists/read/,16355,0,0
1618218143978,6169,Website request,200,,Load test Thread Group 1-255,text,true,,7645,209,370,370,http://localhost:8082/,6169,0,0
1618218135906,14343,Read Playlist,200,,Load test Thread Group 1-468,text,true,,57152,224,369,369,http://localhost:8082/playlists/read/,14343,0,0
1618218144024,6225,Website request,200,,Load test Thread Group 1-44,text,true,,7645,209,369,369,http://localhost:8082/,6225,0,0
1618218136166,14085,Create Track,201,,Load test Thread Group 1-401,text,true,,392,402,369,369,http://localhost:8082/tracks/create,14084,0,0
1618218144195,6058,Website request,200,,Load test Thread Group 1-254,text,true,,7645,209,367,367,http://localhost:8082/,6058,0,1
1618218144381,5873,Website request,200,,Load test Thread Group 1-40,text,true,,7645,209,366,366,http://localhost:8082/,5873,0,0
1618218136151,14220,Read Playlist,200,,Load test Thread Group 1-364,text,true,,57152,224,366,366,http://localhost:8082/playlists/read/,14220,0,0
1618218136151,14220,Read Playlist,200,,Load test Thread Group 1-477,text,true,,57152,224,366,366,http://localhost:8082/playlists/read/,14220,0,0
1618218136151,14225,Read Playlist,200,,Load test Thread Group 1-347,text,true,,57152,224,364,364,http://localhost:8082/playlists/read/,14225,0,0
1618218144443,5935,Website request,200,,Load test Thread Group 1-37,text,true,,7645,209,363,363,http://localhost:8082/,5935,0,0
1618218136166,14239,Read Playlist,200,,Load test Thread Group 1-147,text,true,,57152,224,363,363,http://localhost:8082/playlists/read/,14239,0,0
1618218136166,14296,Read Playlist,200,,Load test Thread Group 1-266,text,true,,57152,224,363,363,http://localhost:8082/playlists/read/,14295,0,0
1618218136428,14035,Create Genre,201,,Load test Thread Group 1-148,text,true,,377,376,362,362,http://localhost:8082/genres/create,14035,0,0
1618218136428,14179,Read Playlists,200,,Load test Thread Group 1-149,text,true,,57152,224,362,362,http://localhost:8082/playlists/read/,14179,0,0
1618218144687,5921,Website request,200,,Load test Thread Group 1-237,text,true,,7645,209,362,362,http://localhost:8082/,5921,0,0
1618218144717,5892,Website request,200,,Load test Thread Group 1-38,text,true,,7645,209,362,362,http://localhost:8082/,5892,0,0
1618218132186,18428,Read Albums,200,,Load test Thread Group 1-423,text,true,,123077,221,362,362,http://localhost:8082/albums/read/,18427,0,0
1618218136166,14456,Read Playlists,200,,Load test Thread Group 1-152,text,true,,57152,224,361,361,http://localhost:8082/playlists/read/,14455,0,0
1618218136833,13828,Read Tracks,200,,Load test Thread Group 1-353,text,true,,374,233,361,361,http://localhost:8082/tracks/read/playlist/267,13828,0,0
1618218136428,14233,Read Playlist,200,,Load test Thread Group 1-362,text,true,,57152,224,361,361,http://localhost:8082/playlists/read/,14233,0,0
1618218136862,13818,Read Tracks,200,,Load test Thread Group 1-395,text,true,,263,233,359,359,http://localhost:8082/tracks/read/playlist/370,13818,0,0
1618218136598,14082,Read Playlist,200,,Load test Thread Group 1-374,text,true,,57152,224,359,359,http://localhost:8082/playlists/read/,14082,0,0
1618218135583,15107,Read Genres,200,,Load test Thread Group 1-163,text,true,,101564,221,357,357,http://localhost:8082/genres/read/,15106,0,0
1618218145026,5665,Website request,200,,Load test Thread Group 1-233,text,true,,7645,209,357,357,http://localhost:8082/,5665,0,0
1618218136862,13841,Read Tracks,200,,Load test Thread Group 1-131,text,true,,364633,221,357,357,http://localhost:8082/tracks/read/,13837,0,0
1618218136644,14187,Read Playlists,200,,Load test Thread Group 1-146,text,true,,57152,224,357,357,http://localhost:8082/playlists/read/,14187,0,0
1618218136014,14835,Read Genres,200,,Load test Thread Group 1-154,text,true,,101564,221,357,357,http://localhost:8082/genres/read/,14834,0,0
1618218145225,5625,Website request,200,,Load test Thread Group 1-32,text,true,,7645,209,357,357,http://localhost:8082/,5625,0,1
1618218145241,5610,Website request,200,,Load test Thread Group 1-24,text,true,,7645,209,357,357,http://localhost:8082/,5610,0,1
1618218145241,5612,Website request,200,,Load test Thread Group 1-21,text,true,,7645,209,357,357,http://localhost:8082/,5612,0,1
1618218136598,14274,Read Playlist,200,,Load test Thread Group 1-258,text,true,,57152,224,357,357,http://localhost:8082/playlists/read/,14274,0,0
1618218145272,5602,Website request,200,,Load test Thread Group 1-28,text,true,,7645,209,357,357,http://localhost:8082/,5601,0,1
1618218136877,14009,Read Tracks,200,,Load test Thread Group 1-134,text,true,,364633,221,356,356,http://localhost:8082/tracks/read/,14005,0,0
1618218136877,14010,Create Artist,201,,Load test Thread Group 1-18,text,true,,315,305,356,356,http://localhost:8082/artists/create,14010,0,0
1618218145426,5462,Website request,200,,Load test Thread Group 1-23,text,true,,7645,209,356,356,http://localhost:8082/,5462,0,0
1618218136877,14011,Create Artist,201,,Load test Thread Group 1-373,text,true,,301,291,356,356,http://localhost:8082/artists/create,14011,0,0
1618218136862,14031,Read Playlist,200,,Load test Thread Group 1-235,text,true,,57152,224,355,355,http://localhost:8082/playlists/read/,14031,0,0
1618218145518,5377,Website request,200,,Load test Thread Group 1-47,text,true,,7645,209,355,355,http://localhost:8082/,5377,0,0
1618218137015,13891,Read Tracks,200,,Load test Thread Group 1-129,text,true,,364633,221,355,355,http://localhost:8082/tracks/read/,13888,0,0
1618218137015,13892,Create Artist,201,,Load test Thread Group 1-412,text,true,,308,298,355,355,http://localhost:8082/artists/create,13892,0,0
1618218137015,13893,Create Track,201,,Load test Thread Group 1-120,text,true,,397,407,354,354,http://localhost:8082/tracks/create,13893,0,0
1618218137015,13894,Read Tracks,200,,Load test Thread Group 1-444,text,true,,263,233,354,354,http://localhost:8082/tracks/read/playlist/361,13893,0,0
1618218136862,14049,Read Playlists,200,,Load test Thread Group 1-139,text,true,,57152,224,353,353,http://localhost:8082/playlists/read/,14049,0,0
1618218137015,14129,Read Playlist,200,,Load test Thread Group 1-391,text,true,,57152,224,353,353,http://localhost:8082/playlists/read/,14128,0,0
1618218145672,5473,Read Playlist,200,,Load test Thread Group 1-299,text,true,,57152,224,353,353,http://localhost:8082/playlists/read/,5472,0,0
1618218137031,14115,Create Track,201,,Load test Thread Group 1-123,text,true,,366,376,351,351,http://localhost:8082/tracks/create,14115,0,0
1618218145734,5414,Website request,200,,Load test Thread Group 1-246,text,true,,7645,209,351,351,http://localhost:8082/,5414,0,0
1618218136428,14920,Read Genres,200,,Load test Thread Group 1-136,text,true,,101678,221,350,350,http://localhost:8082/genres/read/,14920,0,0
1618218137031,14318,Create Genre,201,,Load test Thread Group 1-307,text,true,,331,329,350,350,http://localhost:8082/genres/create,14318,0,0
1618218132817,18542,Read Albums,200,,Load test Thread Group 1-394,text,true,,123077,221,349,349,http://localhost:8082/albums/read/,18541,0,0
1618218137109,14249,Read Tracks,200,,Load test Thread Group 1-348,text,true,,384,232,349,349,http://localhost:8082/tracks/read/playlist/86,14249,0,0
1618218146303,5133,Website request,200,,Load test Thread Group 1-8,text,true,,7645,209,347,347,http://localhost:8082/,5133,0,0
1618218146087,5349,Website request,200,,Load test Thread Group 1-25,text,true,,7645,209,347,347,http://localhost:8082/,5349,0,0
1618218146303,5133,Website request,200,,Load test Thread Group 1-115,text,true,,7645,209,347,347,http://localhost:8082/,5133,0,0
1618218146103,5333,Website request,200,,Load test Thread Group 1-89,text,true,,7645,209,347,347,http://localhost:8082/,5333,0,0
1618218146333,5103,Read Tracks,200,,Load test Thread Group 1-2,text,true,,379,233,347,347,http://localhost:8082/tracks/read/playlist/293,5103,0,0
1618218132817,18619,Read Albums,200,,Load test Thread Group 1-9,text,true,,123077,221,347,347,http://localhost:8082/albums/read/,18619,0,0
1618218146118,5318,Website request,200,,Load test Thread Group 1-226,text,true,,7645,209,347,347,http://localhost:8082/,5318,0,0
1618218137015,14352,Read Playlist,200,,Load test Thread Group 1-132,text,true,,57152,224,347,347,http://localhost:8082/playlists/read/,14352,0,0
1618218137170,14269,Read Tracks,200,,Load test Thread Group 1-446,text,true,,433,233,347,347,http://localhost:8082/tracks/read/playlist/148,14269,0,0
1618218137031,14408,Read Playlist,200,,Load test Thread Group 1-158,text,true,,57152,224,347,347,http://localhost:8082/playlists/read/,14407,0,0
1618218137111,14555,Read Playlists,200,,Load test Thread Group 1-124,text,true,,57152,224,346,346,http://localhost:8082/playlists/read/,14554,0,0
1618218137047,14631,Read Playlist,200,,Load test Thread Group 1-370,text,true,,57152,224,346,346,http://localhost:8082/playlists/read/,14630,0,0
1618218137109,14570,Read Playlists,200,,Load test Thread Group 1-122,text,true,,57152,224,345,345,http://localhost:8082/playlists/read/,14570,0,0
1618218137371,14308,Read Tracks,200,,Load test Thread Group 1-238,text,true,,425,233,345,345,http://localhost:8082/tracks/read/playlist/228,14308,0,0
1618218137111,14575,Read Playlists,200,,Load test Thread Group 1-125,text,true,,57152,224,344,344,http://localhost:8082/playlists/read/,14574,0,0
1618218137216,14489,Read Playlist,200,,Load test Thread Group 1-261,text,true,,57152,224,344,344,http://localhost:8082/playlists/read/,14488,0,0
1618218136862,14891,Read Artists,200,,Load test Thread Group 1-133,text,true,,63242,222,343,343,http://localhost:8082/artists/read/,14891,0,0
1618218146334,5421,Website request,200,,Load test Thread Group 1-231,text,true,,7645,209,343,343,http://localhost:8082/,5421,0,0
1618218136866,14937,Read Genres,200,,Load test Thread Group 1-138,text,true,,101794,221,342,342,http://localhost:8082/genres/read/,14936,0,0
1618218137015,14854,Read Genres,200,,Load test Thread Group 1-135,text,true,,101794,221,342,342,http://localhost:8082/genres/read/,14853,0,0
1618218138283,13586,Read Track,200,,Load test Thread Group 1-108,text,true,,361,228,342,342,http://localhost:8082/tracks/read/id/3240,13586,0,0
1618218136866,15008,Read Genres,200,,Load test Thread Group 1-137,text,true,,101794,221,342,342,http://localhost:8082/genres/read/,15007,0,0
1618218146748,5127,Website request,200,,Load test Thread Group 1-90,text,true,,7645,209,342,342,http://localhost:8082/,5127,0,1
1618218137897,13992,Read Playlist,200,,Load test Thread Group 1-118,text,true,,57152,224,342,342,http://localhost:8082/playlists/read/,13991,0,0
1618218137897,13993,Read Playlist,200,,Load test Thread Group 1-245,text,true,,57152,224,342,342,http://localhost:8082/playlists/read/,13993,0,0
1618218138732,13182,Read Tracks,200,,Load test Thread Group 1-342,text,true,,409,233,341,341,http://localhost:8082/tracks/read/playlist/161,13182,0,0
1618218137371,14543,Read Playlist,200,,Load test Thread Group 1-126,text,true,,57152,224,341,341,http://localhost:8082/playlists/read/,14543,0,0
1618218146778,5138,Website request,200,,Load test Thread Group 1-218,text,true,,7645,209,340,340,http://localhost:8082/,5138,0,1
1618218137371,14558,Read Playlist,200,,Load test Thread Group 1-276,text,true,,57152,224,340,340,http://localhost:8082/playlists/read/,14557,0,0
1618218138763,13168,Create Track,201,,Load test Thread Group 1-294,text,true,,433,443,339,339,http://localhost:8082/tracks/create,13168,0,0
1618218137990,13990,Read Playlists,200,,Load test Thread Group 1-42,text,true,,57152,224,338,338,http://localhost:8082/playlists/read/,13990,0,0
1618218138886,13096,Delete Track,204,,Load test Thread Group 1-6,text,true,,223,249,338,338,http://localhost:8082/tracks/delete/3241,0,0,0
1618218146840,5143,Website request,200,,Load test Thread Group 1-227,text,true,,7645,209,338,338,http://localhost:8082/,5143,0,0
